log_prob_true,time_log_prob,loss,log_prob,val_log_prob_true,val_time_log_prob,val_loss,val_log_prob,val_loss_jacobian_x,val_loss_jacobian_u,epoch,step,time_sample_obs,mmd_obs,log_prob_p,kl_distance,val_time_sample_obs,val_mmd_obs,val_log_prob_p,val_kl_distance,time_forward
-123.9780044555664,5.580902576446533,9.21957778930664,-9.21957778930664,-123.9780044555664,5.580902099609375,9.21957778930664,-9.21957778930664,nan,nan,0,0,,,,,,,,,
-123.9780044555664,4.3277740478515625,9.14376449584961,-9.14376449584961,-123.9780044555664,4.3277740478515625,9.14376449584961,-9.14376449584961,,,1,1,14.689922332763672,0.00472569465637207,-92.76673889160156,-31.317657470703125,14.689922332763672,0.00472569465637207,-92.76673889160156,-31.317657470703125,
-123.9780044555664,5.333185195922852,9.07099723815918,-9.07099723815918,-123.9780044555664,5.333185195922852,9.07099723815918,-9.07099723815918,,,2,2,,,,,,,,,
-123.9780044555664,3.5877225399017334,9.000536918640137,-9.000536918640137,-123.9780044555664,3.5877227783203125,9.000536918640137,-9.000536918640137,,,3,3,,,,,,,,,
-123.9780044555664,3.731966018676758,8.931819915771484,-8.931819915771484,-123.9780044555664,3.731966018676758,8.931819915771484,-8.931819915771484,,,4,4,,,,,,,,,
-123.9780044555664,3.2210350036621094,8.864114761352539,-8.864114761352539,-123.9780044555664,3.2210350036621094,8.864114761352539,-8.864114761352539,nan,nan,5,5,,,,,,,,,
-123.9780044555664,3.4911632537841797,8.796853065490723,-8.796853065490723,-123.9780044555664,3.4911632537841797,8.796853065490723,-8.796853065490723,,,6,6,,,,,,,,,
-123.9780044555664,3.2677650451660156,8.72949504852295,-8.72949504852295,-123.9780044555664,3.2677650451660156,8.72949504852295,-8.72949504852295,,,7,7,,,,,,,,,
-123.9780044555664,3.5309791564941406,8.661693572998047,-8.661693572998047,-123.9780044555664,3.5309791564941406,8.661693572998047,-8.661693572998047,,,8,8,,,,,,,,,
-123.9780044555664,3.6029813289642334,8.593040466308594,-8.593040466308594,-123.9780044555664,3.6029815673828125,8.593040466308594,-8.593040466308594,,,9,9,,,,,,,,,
-123.9780044555664,3.4592151641845703,8.523353576660156,-8.523353576660156,-123.9780044555664,3.4592151641845703,8.523353576660156,-8.523353576660156,nan,nan,10,10,,,,,,,,,
-123.9780044555664,3.2460689544677734,8.451534271240234,-8.451534271240234,-123.9780044555664,3.2460689544677734,8.451534271240234,-8.451534271240234,,,11,11,9.97614860534668,0.0023549795150756836,-96.37804412841797,-28.153350830078125,9.97614860534668,0.0023549795150756836,-96.37804412841797,-28.153350830078125,
-123.9780044555664,3.214120864868164,8.376086235046387,-8.376086235046387,-123.9780044555664,3.214120864868164,8.376086235046387,-8.376086235046387,,,12,12,,,,,,,,,
-123.9780044555664,3.256082534790039,8.298287391662598,-8.298287391662598,-123.9780044555664,3.256082534790039,8.298287391662598,-8.298287391662598,,,13,13,,,,,,,,,
-123.9780044555664,3.2110214233398438,8.219086647033691,-8.219086647033691,-123.9780044555664,3.2110214233398438,8.219086647033691,-8.219086647033691,,,14,14,,,,,,,,,
-123.9780044555664,3.1228065490722656,8.138932228088379,-8.138932228088379,-123.9780044555664,3.1228065490722656,8.138932228088379,-8.138932228088379,nan,nan,15,15,,,,,,,,,
-123.9780044555664,4.577159881591797,8.058052062988281,-8.058052062988281,-123.9780044555664,4.577159881591797,8.058052062988281,-8.058052062988281,,,16,16,,,,,,,,,
-123.9780044555664,3.132343292236328,7.976573467254639,-7.976573467254639,-123.9780044555664,3.132343292236328,7.976573467254639,-7.976573467254639,,,17,17,,,,,,,,,
-123.9780044555664,3.3538341522216797,7.894446849822998,-7.894446849822998,-123.9780044555664,3.3538341522216797,7.894446849822998,-7.894446849822998,,,18,18,,,,,,,,,
-123.9780044555664,3.9479732513427734,7.811649322509766,-7.811649322509766,-123.9780044555664,3.9479732513427734,7.811649322509766,-7.811649322509766,,,19,19,,,,,,,,,
-123.9780044555664,3.159046173095703,7.728151798248291,-7.728151798248291,-123.9780044555664,3.159046173095703,7.728151798248291,-7.728151798248291,nan,nan,20,20,,,,,,,,,
-123.9780044555664,3.233671188354492,7.644080638885498,-7.644080638885498,-123.9780044555664,3.233671188354492,7.644080638885498,-7.644080638885498,,,21,21,10.987043380737305,0.0012462139129638672,-96.65343475341797,-28.499467849731445,10.987043380737305,0.0012462139129638672,-96.65343475341797,-28.499467849731445,
-123.9780044555664,3.4399032592773438,7.561001777648926,-7.561001777648926,-123.9780044555664,3.4399032592773438,7.561001777648926,-7.561001777648926,,,22,22,,,,,,,,,
-123.9780044555664,4.332065582275391,7.485324859619141,-7.485324859619141,-123.9780044555664,4.332065582275391,7.485324859619141,-7.485324859619141,,,23,23,,,,,,,,,
-123.9780044555664,3.4890174865722656,7.411130905151367,-7.411130905151367,-123.9780044555664,3.4890174865722656,7.411130905151367,-7.411130905151367,,,24,24,,,,,,,,,
-123.9780044555664,3.556966781616211,7.336102485656738,-7.336102485656738,-123.9780044555664,3.556966781616211,7.336102485656738,-7.336102485656738,nan,nan,25,25,,,,,,,,,
-123.9780044555664,3.7539005279541016,7.259697437286377,-7.259697437286377,-123.9780044555664,3.7539005279541016,7.259697437286377,-7.259697437286377,,,26,26,,,,,,,,,
-123.9780044555664,3.409862518310547,7.181565761566162,-7.181565761566162,-123.9780044555664,3.409862518310547,7.181565761566162,-7.181565761566162,,,27,27,,,,,,,,,
-123.9780044555664,3.467082977294922,7.101166725158691,-7.101166725158691,-123.9780044555664,3.467082977294922,7.101166725158691,-7.101166725158691,,,28,28,,,,,,,,,
-123.9780044555664,3.1969547271728516,7.018194675445557,-7.018194675445557,-123.9780044555664,3.1969547271728516,7.018194675445557,-7.018194675445557,,,29,29,,,,,,,,,
-123.9780044555664,3.139019012451172,6.932563781738281,-6.932563781738281,-123.9780044555664,3.139019012451172,6.932563781738281,-6.932563781738281,nan,nan,30,30,,,,,,,,,
-123.9780044555664,4.493951797485352,6.844544887542725,-6.844544887542725,-123.9780044555664,4.493951797485352,6.844544887542725,-6.844544887542725,,,31,31,20.14613151550293,0.0008704662322998047,-99.79718780517578,-25.603477478027344,20.14613151550293,0.0008704662322998047,-99.79718780517578,-25.603477478027344,
-123.9780044555664,3.3371448516845703,6.754636764526367,-6.754636764526367,-123.9780044555664,3.3371448516845703,6.754636764526367,-6.754636764526367,,,32,32,,,,,,,,,
-123.9780044555664,4.920005798339844,6.6634931564331055,-6.6634931564331055,-123.9780044555664,4.920005798339844,6.6634931564331055,-6.6634931564331055,,,33,33,,,,,,,,,
-123.9780044555664,4.805803298950195,6.572437286376953,-6.572437286376953,-123.9780044555664,4.805803298950195,6.572437286376953,-6.572437286376953,,,34,34,,,,,,,,,
-123.9780044555664,3.7071704864501953,6.480388641357422,-6.480388641357422,-123.9780044555664,3.7071704864501953,6.480388641357422,-6.480388641357422,nan,nan,35,35,,,,,,,,,
-123.9780044555664,4.847288131713867,6.383216857910156,-6.383216857910156,-123.9780044555664,4.847288131713867,6.383216857910156,-6.383216857910156,,,36,36,,,,,,,,,
-123.9780044555664,3.6039352416992188,6.282316207885742,-6.282316207885742,-123.9780044555664,3.6039352416992188,6.282316207885742,-6.282316207885742,,,37,37,,,,,,,,,
-123.9780044555664,3.535032272338867,6.182901382446289,-6.182901382446289,-123.9780044555664,3.535032272338867,6.182901382446289,-6.182901382446289,,,38,38,,,,,,,,,
-123.9780044555664,3.659963607788086,6.084252834320068,-6.084252834320068,-123.9780044555664,3.659963607788086,6.084252834320068,-6.084252834320068,,,39,39,,,,,,,,,
-123.9780044555664,3.8521289825439453,5.984766483306885,-5.984766483306885,-123.9780044555664,3.8521289825439453,5.984766483306885,-5.984766483306885,nan,nan,40,40,,,,,,,,,
-123.9780044555664,3.8721561431884766,5.884385585784912,-5.884385585784912,-123.9780044555664,3.8721561431884766,5.884385585784912,-5.884385585784912,,,41,41,13.427257537841797,0.0003205537796020508,-103.55412292480469,-22.350561141967773,13.427257537841797,0.0003205537796020508,-103.55412292480469,-22.350561141967773,
-123.9780044555664,8.162975311279297,5.783369064331055,-5.783369064331055,-123.9780044555664,8.162975311279297,5.783369064331055,-5.783369064331055,,,42,42,,,,,,,,,
-123.9780044555664,4.62794303894043,5.680896282196045,-5.680896282196045,-123.9780044555664,4.62794303894043,5.680896282196045,-5.680896282196045,,,43,43,,,,,,,,,
-123.9780044555664,4.318952560424805,5.5761590003967285,-5.5761590003967285,-123.9780044555664,4.318952560424805,5.5761590003967285,-5.5761590003967285,,,44,44,,,,,,,,,
-123.9780044555664,4.502058029174805,5.469752788543701,-5.469752788543701,-123.9780044555664,4.502058029174805,5.469752788543701,-5.469752788543701,nan,nan,45,45,,,,,,,,,
-123.9780044555664,4.678249359130859,5.362718105316162,-5.362718105316162,-123.9780044555664,4.678249359130859,5.362718105316162,-5.362718105316162,,,46,46,,,,,,,,,
-123.9780044555664,4.007816314697266,5.254369258880615,-5.254369258880615,-123.9780044555664,4.007816314697266,5.254369258880615,-5.254369258880615,,,47,47,,,,,,,,,
-123.9780044555664,5.234956741333008,5.140989780426025,-5.140989780426025,-123.9780044555664,5.234956741333008,5.140989780426025,-5.140989780426025,,,48,48,,,,,,,,,
,,4.372098445892334,-4.372098445892334,,,,,,,49,49,,,,,,,,,2.7183890342712402
-123.9780044555664,4.759073257446289,5.028132915496826,-5.028132915496826,-123.9780044555664,4.759073257446289,5.028132915496826,-5.028132915496826,,,49,49,,,,,,,,,
-123.9780044555664,4.0740966796875,4.9135284423828125,-4.9135284423828125,-123.9780044555664,4.0740966796875,4.9135284423828125,-4.9135284423828125,nan,nan,50,50,,,,,,,,,
-123.9780044555664,3.7937161922454834,4.7958292961120605,-4.7958292961120605,-123.9780044555664,3.7937164306640625,4.7958292961120605,-4.7958292961120605,,,51,51,11.167287826538086,0.0012662410736083984,-100.48157501220703,-25.56328582763672,11.167287826538086,0.0012662410736083984,-100.48157501220703,-25.56328582763672,
-123.9780044555664,3.8449764251708984,4.676219940185547,-4.676219940185547,-123.9780044555664,3.8449764251708984,4.676219940185547,-4.676219940185547,,,52,52,,,,,,,,,
-123.9780044555664,4.384040832519531,4.558067798614502,-4.558067798614502,-123.9780044555664,4.384040832519531,4.558067798614502,-4.558067798614502,,,53,53,,,,,,,,,
-123.9780044555664,3.4339427947998047,4.432090759277344,-4.432090759277344,-123.9780044555664,3.4339427947998047,4.432090759277344,-4.432090759277344,,,54,54,,,,,,,,,
-123.9780044555664,4.31513786315918,4.308448314666748,-4.308448314666748,-123.9780044555664,4.31513786315918,4.308448314666748,-4.308448314666748,nan,nan,55,55,,,,,,,,,
-123.9780044555664,3.608226776123047,4.182244777679443,-4.182244777679443,-123.9780044555664,3.608226776123047,4.182244777679443,-4.182244777679443,,,56,56,,,,,,,,,
-123.9780044555664,3.438711166381836,4.0617547035217285,-4.0617547035217285,-123.9780044555664,3.438711166381836,4.0617547035217285,-4.0617547035217285,,,57,57,,,,,,,,,
-123.9780044555664,3.633260726928711,3.941164970397949,-3.941164970397949,-123.9780044555664,3.633260726928711,3.941164970397949,-3.941164970397949,,,58,58,,,,,,,,,
-123.9780044555664,3.808736801147461,3.8232674598693848,-3.8232674598693848,-123.9780044555664,3.808736801147461,3.8232674598693848,-3.8232674598693848,,,59,59,,,,,,,,,
-123.9780044555664,3.443002700805664,3.6955981254577637,-3.6955981254577637,-123.9780044555664,3.443002700805664,3.6955981254577637,-3.6955981254577637,nan,nan,60,60,,,,,,,,,
-123.9780044555664,3.493070602416992,3.568244218826294,-3.568244218826294,-123.9780044555664,3.493070602416992,3.568244218826294,-3.568244218826294,,,61,61,10.986089706420898,0.002469778060913086,-92.97454071044922,-33.11997985839844,10.986089706420898,0.002469778060913086,-92.97454071044922,-33.11997985839844,
-123.9780044555664,3.392934799194336,3.457017183303833,-3.457017183303833,-123.9780044555664,3.392934799194336,3.457017183303833,-3.457017183303833,,,62,62,,,,,,,,,
-123.9780044555664,3.4589767456054688,3.3492791652679443,-3.3492791652679443,-123.9780044555664,3.4589767456054688,3.3492791652679443,-3.3492791652679443,,,63,63,,,,,,,,,
-123.9780044555664,3.361940383911133,3.2242352962493896,-3.2242352962493896,-123.9780044555664,3.361940383911133,3.2242352962493896,-3.2242352962493896,,,64,64,,,,,,,,,
-123.9780044555664,3.579854965209961,3.083522081375122,-3.083522081375122,-123.9780044555664,3.579854965209961,3.083522081375122,-3.083522081375122,nan,nan,65,65,,,,,,,,,
-123.9780044555664,3.4499168395996094,2.96459698677063,-2.96459698677063,-123.9780044555664,3.4499168395996094,2.96459698677063,-2.96459698677063,,,66,66,,,,,,,,,
-123.9780044555664,4.450082778930664,2.8696115016937256,-2.8696115016937256,-123.9780044555664,4.450082778930664,2.8696115016937256,-2.8696115016937256,,,67,67,,,,,,,,,
-123.9780044555664,3.615856170654297,2.7481274604797363,-2.7481274604797363,-123.9780044555664,3.615856170654297,2.7481274604797363,-2.7481274604797363,,,68,68,,,,,,,,,
-123.9780044555664,3.7741661071777344,2.5947532653808594,-2.5947532653808594,-123.9780044555664,3.7741661071777344,2.5947532653808594,-2.5947532653808594,,,69,69,,,,,,,,,
-123.9780044555664,4.060983657836914,2.488295793533325,-2.488295793533325,-123.9780044555664,4.060983657836914,2.488295793533325,-2.488295793533325,nan,nan,70,70,,,,,,,,,
-123.9780044555664,3.4270286560058594,2.417640447616577,-2.417640447616577,-123.9780044555664,3.4270286560058594,2.417640447616577,-2.417640447616577,,,71,71,11.547088623046875,0.0007685422897338867,-101.32904052734375,-24.767793655395508,11.547088623046875,0.0007685422897338867,-101.32904052734375,-24.767793655395508,
-123.9780044555664,3.719329833984375,2.3112471103668213,-2.3112471103668213,-123.9780044555664,3.719329833984375,2.3112471103668213,-2.3112471103668213,,,72,72,,,,,,,,,
-123.9780044555664,3.3860206604003906,2.154963731765747,-2.154963731765747,-123.9780044555664,3.3860206604003906,2.154963731765747,-2.154963731765747,,,73,73,,,,,,,,,
-123.9780044555664,3.683805465698242,2.0374338626861572,-2.0374338626861572,-123.9780044555664,3.683805465698242,2.0374338626861572,-2.0374338626861572,,,74,74,,,,,,,,,
-123.9780044555664,3.3702852725982666,1.990075945854187,-1.990075945854187,-123.9780044555664,3.3702850341796875,1.990075945854187,-1.990075945854187,nan,nan,75,75,,,,,,,,,
-123.9780044555664,3.8518905639648438,1.9272204637527466,-1.9272204637527466,-123.9780044555664,3.8518905639648438,1.9272204637527466,-1.9272204637527466,,,76,76,,,,,,,,,
